Title,Film,Year,Singer,Composer,Lyricist,Lyrics
apanii ulfat pe zamaane kaa  to kitanaa achchhaa hotaa,sasural,1961,mukesh lata,shankarjaikishan,hasrat,  mu 	apanii ulfat pe zamaane kaa na paharaa hotaa 	to kitanaa achchhaa hotaa 2 la 	pyaar kii raat kaa koii na saveraa hotaa 	to kitanaa achchhaa hotaa 2 mu 	apanii ulfat pe threedots  	paas aakar bhii bahut duur bahut duur rahe 	ek bandhan men bandhe phir bhii to majabuur rahe 	merii raahon men na ulajhan kaa andheraa hotaa 	to kitanaa achchhaa hotaa 2  la 	dil mile aankh milii pyaar na milane paae 	baagabaan kahataa hai do phuul na khilane paaen 	apanii manzil ko jo kaanton ne na gheraa hotaa 	to kitanaa achchhaa hotaa 2  mu 	ajab sulagatii huii lakadiyaan hain jag vaale la 	milen to aag ugal den katen to dhuaan karen do 	apanii duniyaa men bhii sukh chain kaa pheraa hotaa 	to kitanaa achchhaa hotaa 2 	apanii ulfat pe threedots 
zindagii men aayaa tuufaan,aya toofan,1964,rafi,laxmikantpyarelal,farooq kaisar,  zindagii men aayaa tuufaan 2 hue aaj sab paraae din ye kaise aae zindagii men threedots  phailii gamon kii siyaahii main huun meraa hamaraahii maangii na thii tujhase duniyaa maine mohabbaat chaahii pyaar banake aayaa tuufaan zindagii men threedots  yaad karegaa zamaanaa qismat kaa ye tadapaanaa hiiron ko thukaraane vaale chunate hain daanaa haay kaisaa aayaa tuufaan zindagii men threedots 
chalchalchal mere dil pyaar terii manzil,akeli mat jaiyo,1963,mukesh johny whisky,madan mohan,majrooh,  mu 	chalchalchal mere dil pyaar terii manzil 	jahaan pyaar mile diladaar mile vahiin chalchalchal 	chalchalchal mere dil threedots  jaa 	pade na phir pachhataanaa vahaan  mu 	jo bhii pade sab sah le chal unakii galii men pahale 	kahatii hai duniyaa aaj agar to tujhako diivaanaa kah le 	hans ke pukaare hansane de pyaare duniyaa to hai jaahil jaa 	an ra ra ra mu 	chalchalchal mere dil threedots  jaa 	palat chalo ghar baitho sunaa  mu 	baith ke gam kyon jhelen haathon men vo daaman le len 	karake nigaahen chaar zaraa taqadiir kii baazii khelen 	phir vahii main huun phir vahii tuu ho phir ho vahii mahafil jaa 	i i i i mu 	chalchalchal mere dil threedots 
ai dilarubaa nazaren milaa,rustom sohrab,1963,lata,sajjad,jaan nisar akhtar, ai dilarubaa ai dilarubaa ai dilarubaa nazaren milaa kuchh to mile gam kaa silaa ai dilarubaa threedots  ashqon kaa ik dariyaa bahaa pyaasaa thaa dil pyaasaa rahaa nazaren milaa nazaren milaa rahane na de koii gilaa ai dilarubaa threedots 
kaun apanaa kaun paraayaa,kaun apna kaun paraya,1963,rafi,ravi,shakeel,  kaun apanaa kaun paraayaa 2 duniyaa kaa ye bhed abhii tak koii samajh nahiin paayaa  jiivan kii naiyaa men sabhii hain raahii ik manzil ke inhiin men man ke miit milenge inhiin men dushman dil ke kisii ke dil men bharii hai nafarat kisii men pyaar kii maayaa kaun apanaa threedots  bichhade log bhii mil jaate hain kabhiikabhii jiivan men kushii kii laharen bhii uthatii hain kisii ke dukhiyaa man men kabhii kisii ne khoyaa jag men kabhii kisii ne paayaa kaun apanaa threedots  koii muurakh ban ke begaanaa apanon ko thukaraae koii kisii kii kushii ke kaaran raste se hat jaae koii kinaaraa chhod ke dhuundhe tuufaanon kaa saayaa kaun apanaa threedots 
tum akele to kabhii baag men jaayaa na karo,aao pyar karen,1964,lata rafi,usha khanna,rajinder krishan, ra   tum akele to kabhii baag men jaayaa na karo  2 	     aajakal phuul bhii dilawaale huaa karate hain 	     koii qadamon se lipat baithaa to phir 	     to phir kyaa hogaa  2        	      la   tum akele to kabhii baag men jaayaa na karo 	     aajakal kaliyaan badii shok huaa karatii hain 	     koii shokii pe utar aayii to phir 	     to phir kyaa hogaa  2 	     tum akele to kabhii baag men jaayaa na karo  ra   tum kabhii zulf ko chehare pe giraayaa na karo  2 	     baaz dilawaale bhii kamazor huaa karate hain 	     koii naagin jo samajh baithaa to phir 	     to phir kyaa hogaa  2        	      la   mahafilehusn kii chilaman ko uthaayaa na karo  2 	     bijaliyaan kaalii ghataaon men chhupii hotii hain 	     koii chupake se chamak jaaye to phir 	     to phir kyaa hogaa  2 	     tum akele to kabhii baag men jaayaa na karo  ra   tum kabhii aankh men kaajal bhii lagaayaa na karo  2 	     inhiin aankhon ke dariichon men to ham basate hain 	     saath kaajal ke jo bah nikale to phir 	     to phir kyaa hogaa  2 	     haay haay 	      la   husnawaalon ke muqaabil kabhii aayaa na karo  2 	     sharbatii aankhon ke doron men nashaa hotaa hai 	     bin piye hii jo bahak jaao to phir 	     to phir kyaa hogaa  2 	     tum akele to kabhii baag men jaayaa na karo  ra   dekho angadaaii ko bhii baanhen uthaayaa na karo  2 	     aaj tak chaand ke daaman ko na pahunchaa koii 	     chaand ghabaraa ke jo gir jaaye to phir 	     to phir kyaa hogaa  2 	      la   tum kayaalon kii ye tasviiren banaayaa na karo  2 	     ret par duur se paanii kaa gumaan hotaa hai 	     umra bhar pyaas na bujh paaii to phir 	     to phir kyaa hogaa  2 	     tum akele to kabhii baag men jaayaa na karo  ra   tum aaiine se bhii aankhen milaayaa na karo  2 	     aaj tak aisii hasiin chiiz na dekhii hogii 	     apanii suurat pe jo mar baithe to phir 	     to phir kyaa hogaa  2 	     haay haay 	      la   tum to aaiine se aankhen milaayaa na karo  2 	     dil na dene pe bahut naaz kiyaa karate ho 	     apanii suurat pe bigad baithe to phir 	     to phir kyaa hogaa  2 	     oy ho 	     tum akele to kabhii baag men jaayaa na karo  2 
daiiyaa re daiiyaa jashodaa maiiyaa isako sambhaal,aasra,1966,lata,laxmikantpyarelal,anand bakshi,  daiiyaa re daiiyaa jashodaa maiiyaa isako sambhaal badaa natakhat hai tero nandalaal  paniyaa bharan ko jaane naa de jaauun to vaapas aane naa de raah naa chhode matakii phode maakhan le nikaal badaa natakhat hai threedots  jamunaa pe aisii bansii bajaaii tan men man men aag lagaaii niind churaaii raam duhaaii kiyaa buraa haal badaa natakhat hai threedots  priit binaa koii giit naa jaane priit kii lekin riit naa jaane birahaa kii maarii raadhaa bichaarii tadape kitane saal badaa natakhat hai threedots 
kaise din biite kaise biitii ratiyaa,anuradha,1965,lata,pt ravishankar,shailendra, haay kaise din biite kaise biitii ratiyaa piyaa jaane na haay  nehaa lagaa ke main pachhataaii saarii saarii rainaa nindiyaa na aaii jaan ke dekho mere jii kii batiyaa piyaa jaane na haay kaise din biite kaise biitii ratiyaa piyaa jaane na  rut matavaalii aa ke chalii jaaye man men hii mere man kii rahii jaaye khilane ko tarase nanhii nanhii kaliyaan piyaa jaane na haay kaise din biite kaise biitii ratiyaa piyaa jaane na  kajaraa na sohe gajaraa na sohe barakhaa na bhaaye badaraa na sohe kyaa kahuun jo puuchhe mose morii sakhiyaan piyaa jaane na haay kaise din biite kaise biitii ratiyaa piya jaane na 
joshejavaanii haay re haay,around the world,1967,mukesh,shankarjaikishan,shailendra, joshejavaanii haay re haay nikale jidhar se dhuum machaaye duniyaa kaa melaa main huun akelaa kitanaa akelaa huun main joshejavaanii haay re haay   threedots  shaam kaa rangiin shok nazaaraa aur bechaaraa ye dil dhuundh ke haaraa koii sahaaraa par na milii manzil joshejavaanii haay re haay   threedots  koii to hamase do baat karataa koii to kahataa halo ghar na bulaataa par ye to kahataa kuchh duur tak sang chalo joshejavaanii haay re haay   threedots  bekaar guzare ham is taraf se bekaar thaa ye safar ab darbadar kii khaate hain thokar raajaa jo the apane ghar joshejavaanii haay re haay   threedots 
mere jiivan saathii kalii thii main to pyaasii,sathi,1968,lata,naushad,majrooh, mere jivan sathi kali thi main to pyasi tune dekha hui khil ke bahar mere jivan sathi threedots  masti nazar men kal ke khumar ki  mukhade pe lali hai piya tere pyar ki khushabu se tere tan men basa ke  laharae yun dali si tere gunagar ki mere jivan sathi threedots  kahan ka ujala abhi vahi rat hai gori gori bahon pe jaise tera hath hai chudi                           kanon men ab tak vahi teri bat hai mere jivan sathi threedots  tujhako main sajana bindiya ka pyar dun chunari ke rang se ghar ko sanvar dun zulfon ka gajara nainon ka kajal  tere nazarane hain tujh pe hi var dun mere jivan sathi threedots
