Title,Film,Year,Singer,Composer,Lyricist,Lyrics
tum agar mujhako na chaaho to koii baat nahiin,dil hi to hai,-1,mukesh,roshan,sahir, tum agar mujhako na chaaho to koii baat nahiin tum kisii aur ko chaahogii to mushkil hogii  ab agar mel nahiin hai to judaaii bhii nahiin baat todii bhii nahiin tumane nibhaaii bhii nahiin ye sahaaraa bhii bahut hai mere jiine ke liye tum agar merii nahiin ho to paraaii bhii nahiin mere dil ko na saraaho to koii baat nahiin gair ke dil ko saraahogii to mushkilthreedots  tum hasiin ho tumhen sab pyaar hii karate honge main to marataa huun to kyaa aur bhii marate honge sab kii aankhon men isii shauq kaa tuufaan hogaa sab ke siine men yahii dard ubharate honge mere gam men na karaaho to koii baat nahiin aur ke gam men karaahogii to mushkilthreedots  phuul kii tarah hanso sab kii nigaahon men raho apanii maasuum javaanii kii panaahon men raho mujhako vo din na dikhaanaa tumhen apanii hii qasam main tarasataa rahuun tum gair kii baahon men raho tum agar mujhase na nibhaao to koii baat nahiin kisii dushman se nibhaaogii to mushkilthreedots
piipal kii chhaanv tale sapanon ke diip jale,nonfilm,-1,talat mahmood,sohail rana,, piipal kii chhaanv tale sapanon ke diip jale aise men aao ke suhaanaa hai samaan nainon men rang lie man men umang lie milake basaaenge ham pyaar ka jahaan piipal kii chhaanv tale threedots  chaand sitaaron kaa kaaravaan rut hai hasiin kaisaa pyaaraa hai samaan 2 thandii hawaaen ye mahakii fazaaen 2 hamen yaad dilaaen terii tuu hai kahaan piipal kii chhaanv tale threedots  tere kayaalon men khoii huii chaandanii raat hai soii huii 2 priit lagaae ye rut mastaanii 2 aajaa pyaar kii umangen abhii hain jawaan piipal kii chhaanv tale threedots   
beniyaazesahar ho gaii,nonfilm,0,shobha gurtu,shobha gurtu,ganesh bihari tarz, beniyaazesahar ho gaii 	shaamegam ho gaii  ek nazar kyaa idhar ho gaii 	ajanabii har nazar ho gaii  zindagii kyaa hai aur maut kyaa 	shab huii aur sahar ho gaii  unakii aankhon men ashq aa gae 	daastaan muktasar ho gaii  chaar tinake hi rak paae the 	bijaliyon ko kabar ho gaii  chidh gaii kisake daaman kii baat 	kudbkud aankh tar ho gaii  unakii mahfil se uthakar chale 	roshnii hamasafar ho gaii  tarz jab se chhuutaa kaaravaan 	ziisth garesafar ho gaii 
tum kahaan chhupe bhagawaan  dukh haro dwaarakaa naath,ram kare so hoye nonfilm,-1,mukesh,murli manohar swarup,s k deepak,  tum kahaan chhupe bhagawaan karo mat derii dukh haro dwaarakaa naath  dwaarakaa naath sharan main terii  dukh haro dwaarakaa naath  sharan main terii 2  yahii sunaa hai diinabandhu tum sabakaa duhkh har lete jo niraash hain  unakii jholii aashaa se bhar dete agar sudaamaa hotaa main to daud dwaarakaa aataa paanv aansuuon se dhokar main man kii aag bujhaataa tum bano nahiin anjaan suno bhagawaan karo mat derii dukh haro dwaarakaa naath threedots  jo bhii sharan tumhaarii aataa usako dhiir bandhaate nahiin duubane dete daataa naiyaa paar lagaate tum na sunoge to kisako main apanii vyaathaa sunaauun dwaar tumhaaraa chhodake bhagawaan aur kahaan main jaauun prabhuu kab se rahaa pukaar main tere dwaar karo mat derii dukh haro dwaarakaa naath threedots 
kaisii chalii ab ke havaa tere shahar men,nonfilm,-1,ghulam ali,,khatir ghaznavi, kaisii chalii hai ab ke havaa tere shahar men bande bhii ho gaye hain kudaa tere shahar men  kyaa jaane kyaa huaa ki pareshaan ho gayii ek lahazaa ruk gayii thii sabaa tere shahar men    kuchh dushmanii kaa dhab hai na ab dostii ke taur donon kaa ek rang huaa tere shahar men   shaayad unhen pataa thaa ki kaatir hai ajanabii logon ne usako luut liyaa tere shahar men 
bigade hue nasiib kaa afsaanaa hii to huun,nonfilm,-1,talat mahmood,murli manohar swaroop,baqr ali khan, bigade hue nasiib kaa afasaanaa hii to huun hai chaak garebaan meraa diiwaanaa hii to huun  ai shammaa mere haal pe rotii hai kis lie jal jaanaa meraa kaam hai parawaanaa hii to huun  gulashan kahaan kaa gul kaa bhii ab to nahiin nishaan ujadii huii bahaar huun viiraanaa hii to huun  kyonkar main paauun manzilemaqasuud kaa pataa duniyaa kii rasmoraah se begaanaa hii to huun
chup chaap akele chhup chhup ke,nonfilm,-1,talat,,,  chup chaap akele chhup chhup ke main giit khushii ke gaataa huun dil ke zakhmon ko chiil chiil main apanaa jii bahalaataa huun  naa bhuulaa huun na bhuuluungaa vo din jo sapane aaj bane jo aaj ruuth kar bhuul gaye kal tak vo saathii the apane apane begaane banate kyon  jag se ye bhed chhupaataa huun apanaa jii bahalaataa huun threedots  zakhmii dil kaa ye daavaa hai badanaam na hogaa pyaar teraa ek aah na nikalegii muunh se ab jalane do sansaar meraa betaab huun aag bujhaane ko to nayanan niir bahaataa huun apanaa jii bahalaataa huun threedots 
todo na dil beqaraar kaa,jaalsaaz,-1,kishore asha,n dutta,majrooh, ki araaraaraaraaraa todo na dil beqaraar kaa     maan jaao jii chhodo yah dillagii	2     le bhii lo pahalaa tohfaa yah pyaar kaa     araaraaraaraaraa todo na dil beqaraar kaa  aa kaahe ko ham 		ki haan haan     lete phiren		ki aaiin     tohfe tumhaare     jhukate mere qadamon pe hain chaand sitaare  ki yah to bataa		aa kyaa     kab tak teraa     dard sahaa re biite yuun hii     ab ke binaa merii bahaaren aa biit jaane do mausam bahaar kaa  ki araaraaraaraaraa todo na dil beqaraar kaa     maan jaao jii chhodo yah dillagii     maan jaao jii		aa hato jii     chhodo yah dillagii     le bhii lo pahalaa tohfaa     yah pyaar kaa		aa ai hato  aa mainne kabhii		ki huun     dekhaa nahiin		ki huun huun     pyaar se tumako     is pyaar kaa aae yakiin kabhii na hamako  ki ham tum mile		aa kyaa     chandaa tale		aa ahaa haa     yaad hai tumako us raat ka	aa na na na     intazaar hai tabhi se tumako aa phir to jii kaato din intazaar kaa ki urrthreedots aithreedots     aaiko poron italaabitalaa maitaaporonko      maan jaao jii chhodo yah dillagii	2     le bhii lo pahalaa tohfaa yah pyaar kaa     araaraaraaraaraa todo na dil beqaraar kaa aa jaathreedots  aa jaa jaa abhii o jaaduugar aur kabhii mil     daalo na jii aisii nazar dhadak uthaa dil  ki aisaa na ho chal duun kahiin     khulake zaraa mil le le ise     bas men nahiin sanam meraa dil aa kyaa karuun main aise beqaraar kaa ki urrthreedots urrthreedots     maan jaao jii chhodo yah dillagii 2     le bhii lo pahalaa tohfaa yah pyaar kaa aa na na na threedots 
rahaa gardishon men haradam mere ishq kaa sitaaraa,do badan,-1,rafi,ravi,shakeel,  rahaa gardishon men haradam mere ishq kaa sitaaraa kabhii dagamagaayii kashtii kabhii lut gayaa kinaaraa  koii dil kaa khel dekhe ki muhabbaton kii baazii vo qadam qadam pe jiite main qadam qadam pe haaraa  ye hamaarii badanasiibii jo nahiin to aur kyaa hai ki usii ke ho gaye ham jo na ho sakaa hamaaraa  pade jab gamon ke paale rahe mitake mitanevaale jise maut bhii na puuchhaa use zindagii ne maaraa 
thaanii kaanyii kaanyii bol sunanvaan miiraa bhajan,nonfilm,-1,lata,hridaynath,meerabai, thaanii kaanyii kaanyii bol sunanvaan mhaaraa saanvaraa giradhaarii  puurab janam rii priit puraanii 2 jaavanaa giradhaarii mhaaraa saanvaraa saanvaraa giradhaarii thaanii kaanyii kaanyii bol sunanvaan  sundar badan jonvataa saajan  thaarii chabii balihaarii 	2 mhaare aangan maa syaam padhaaro 2 mangal ganvaa anaarii ho mangal ganvaa anaarii mhaaraa saanvaraa saanvaraa giradhaarii thaanii kaanyii kaanyii bol sunanvaan thaanii kaanyii kaanyii bol sunanvaan  motii chokh puranvan nenaa  tan man daaraa baarii		2 charan saran rii daasii miiraa rii 2 janam janam rii kvaarii ho janam janam rii kvaarii mhaaraa saanvaraa saanvaraa giradhaarii thaanii kaanyii kaanyii bol sunanvaan thaanii kaanyii kaanyii bol sunanvaan  thaanii kaanyii kaanyii bol sunanvaan mhaaraa saanvaraa giradhaarii  puurab janam rii priit puraanii 2 jaavanaa giradhaarii mhaaraa saanvaraa saanvaraa giradhaarii thaanii kaanyii kaanyii bol sunanvaan 
