Title,Film,Year,Singer,Composer,Lyricist,Lyrics
tere dard se dil aabaad rahaa,deewaanaa,1992,kumar sanu,nadeem shravan,sameer, tere dard se dil aabaad rahaa 2 kuchh bhuul gae kuchh yaad rahaa 2  nasiibaa bhii kyaa rang laayaa kahaan laa ke hamako milaayaa 2 apanii vafaa ke gul khil naa paae mil ke bhii tumase mil naa paae dardedil ham kaise sahen duur bhii ham kaise rahen teraa gam tere jaane ke baad rahaa 2 kuchh bhuul gae kuchh threedots  jaanevafaa tujhako kyaa den dil kah rahaa hai duaa den aramaan bujhe hain sapanen dhuaan hain mar mar ke ham to zindaa yahaan hain bekhudii men ham kho gae phir judaa tujhase ho gae chaahat kaa jahaan barabaad rahaa 2 kuchh bhuul gae kuchh threedots 
dil apanaa mayakashii kaa talabagaar bhii nahiin,kalaamemohabbat nonfilm,1992,ghulam ali,allahuddin khan,sant darshan singh ji maharaj,     dil apanaa mayakashii kaa talabagaar bhii nahiin haan wo agar pilaayen to inkaar bhii nahiin  ahadewafaa kii subaho kaa kyaa zikr dosto ahadewafaa kii subaho ke aasaar bhii nahiin  suunaa padaa hai der se mayakaanaaewafaa saaqii kaa zikr kyaa koii mayakaar bhii nahiin  gulashan ujaad ho gayaa duniyaa badal gaii kyaa dhuundhate ho gul ke yahaan kaar bhii nahiin  darshan na puuchho zulmateduniyaaeaashiiqii koii charaag ab to saredaar bhii nahiin 
sajanii tere bin naa kabhii rahanaa,bhaai,1997,udit narayan anuradha paudwal,anand milind,sameer, sajanii tere bin naa kabhii rahanaa sajanaa tuu mere tan kaa gahanaa sajanii tere bin threedots  terii khushbuu churaa ke man kaa madhuban khilaa hai terii saanson ko chhuu ke mujhako jiivan milaa hai terii palakon kii chhaanv men mere sapanon kaa ghar hai tere rang men rangii hai ye jo merii chunar hai kanganaa priit kaa maine pahanaa sajanii tere bin threedots  saat phere lagaa ke bandh gae ham vachan se apanaa rishtaa vahii hai dharatii kaa jo gagan se main rijhaauungii har ghadii tujhako solah singaar se ruuth jaaegii tuu agar main manaa luungaa pyaar se sundarii maanuungaa main teraa kahanaa sajanaa tuu mere threedots 
sang sang chaluungaa main banake teraa sajan,divyashakti divine strength,1993,kumar sanu,nadeem shravan,sameer, sang sang chaluungaa main banake teraa sajan 2 aa terii maang bhar duun o merii dulhan sang sang chaluungaa threedots  kaise kahuun jaanevafaa kitanaa mujhe pyaar diyaa tuune merii qismat ko chaahat se sanvaar diyaa merii duniyaa merii manzil nahiin lagataa tere bin dil kushbuu se terii mahake meraa badan sang sang chaluungaa threedots  ab hai yahii meraa aramaan yuun hii sadaa tuu hansatii rahe puurii karuun har chaahat terii tuu mujhase ab jo bhii kahe meraa sapanaa merii saansen tujhe dekhen merii aankhen tere lie hai paagal ye meraa man sang sang chaluungaa threedots 
bhiid men ek ajanabii kaa saamanaa achchhaa lagaa,saadgee nonfilm,1997,ghulam ali,rafique husain,amjad islam amjad,     bhiid men ek ajanabii kaa saamanaa achchhaa lagaa sabase chhupakar wo kisii kaa dekhanaa achchhaa lagaa  suramaaii aankhon ke niiche phuul se khilane lage kahate kahate kuchh kisii kaa sochanaa achchhaa lagaa  dil men kitane ahad baandhe the bhulaane ke liye wo milaa to sab iraade todanaa achchhaa lagaa  dushmanejaan hai par amajad main buraa kaise kahuun jab bhii aayaa saamane wo bewafaa achchhaa lagaa 
terii merii ik jind,bulandi,1999,jaizii b kumar kaini,viju shah,anand bakshi,  terii merii ik jind tuune akkh naal akkh milaaii o mach gaii duhaaii terii merii ik jind ik jind main teraa makhanaa aa haa main teraa makhanaa tuu makhanii malaaii o mach gaii duhaaii terii merii ik jind ik jind threedots  ho maine akkh naal akkh milaaii o mach gaii duhaaii terii merii ik jind ik jind threedots  yede bul baacdii beauty beauty beauty watch this hoy hoy tere kaanpate honthon kaa muskuraanaa luut ke le gayaa ye dil diivaanaa luut ke le gayaa hoy luut ke le gayaa aisii ishq kii ishq kii ishq kii aag lagaaii o mach gaii duhaaii terii merii ik jind ik jind threedots  sohe vechire he sohe vechire vaaleyaa main kainii aan kar chhatarii dii chhaan main chhaaven bainii aan maindii maindii maindii soniye haay mehandii nii mitaraan ne o hoy o mitaraan ne o hoy o mitaraan ne le jaanaa le jaanaa maindii aiho kaindii mitaraan ne le jaanaa afasaane banenge ab tere mere pyaar ke lag ke siine thand paao yaar ke thand paao yaar ke hoy hoy thand paao yaar ke tuune pakadii jo pakadii jo pakadii jo merii kalaaii o mach gaii duhaaii terii merii ik jind ik jind threedots 
terii saanson ko sabaa kahate hain,nonfilm,1992,noorjehan,noorjehan,nasir kazmi,  terii saanson ko sabaa kahte hain2 terii kushbuu ko hinaa kahte hain terii saanson ko sabaa kahte hain terii kushbuu ko hinaa kahte hain terii saanson ko sabaa kahte hain  ho judaaii kaa sabab kuch bhii magar2 ham use apanii kataa kahte hain terii saanson ko sabaa kahte hain  vo to saanson men dhalaa hai mere2 jaane kyuun log judaa kahte hain terii saanson ko sabaa kahte hain  merii nazaron ko bhalaa lagataa hai2 jis ko sab log buraa kahte hain terii saanson ko sabaa kahte hain  dil kii duniyaa ke ajab mausam hain2 zulf bikhare to ghataa kahte hain terii saanson ko sabaa kahte hain terii kushbuu ko hinaa kahte hain terii saanson ko sabaa kahte hain 
ye dharatii chaand sitaare  tuu jab jab mujhako pukaare,qurbaan,1991,anuradha paudwal udit narayan,anand milind,sameer, ye dharatii chaand sitaare ye nadiyaa pavan ghataa re mit jaaegaa saaraa jahaan ye bas pyaar rahegaa yahaan pe  tuu jab jab mujhako pukaare main daudii aauun nadiyaa kinaare har pal teraa rastaa nihaare dil laage nahiin tere binaa re mujhe siine se lagaa le mujhe aankhon mem basaa le mere bhole saathiyaa tujhe dil de diyaa meraa dil le liyaa  dekho sunaharii dhuup ye dhalane lagii munder se kab se khadaa huun main yahaan aaii tuu kitanii der se chhupake chhupake aa gaii terii yahii adaa sanam paagal mujhe banaa gaii mujhe baahon men uthaa le mujhe siine men chhupaa le mere bhole saathiyaa threedots  dekhuun tujhe to din dhale dekhuun tujhe to raat ho mujhako bhii chain aae naa jab tak na tujhase baat ho mil ke bhii kyon lage mujhe dil men milan kii pyaas hai jaauun main tujhase dur kyon aisaa lage tuu paas hai paas mujhako bithaa le saarii duuriyaan mitaa le mere bhole saathiyaa threedots  kaise jiyenge saajanaa aankhon se duur jaake ham marake ise nibhaayenge lii hai jo pyaar men kasam saare jahaan ko bhuul ke ek duuje men samaa gae honge judaa na ham kabhii itane kariib aa gae meraa sapanaa sajaa le mujhe apanaa banaa le mere bhole saathiyaa threedots 
teraa milanaa bahut achchhaa lage hai,dillagee nonfilm,1993,ghulam ali,rafique husain,farhat shahzad,     teraa milanaa bahut achchhaa lage hai mujhe tuu mere dukh jaisaa lage hai  chaman saaraa kahe hai phuul jisako mere aankhon ko tujh cheharaa lage hai  ragon men terii kwaahish bah rahii hai zamaane ko lahuu dil kaa lage hai  har ik majabuur siine men mujhe to dhadakane waalaa dil apanaa lage hai  safar kaisaa chunaa shahazaad tuune har ek manzil yahaan rastaa lage hai 
raam naaraayan baajaa bajaataa,saajan chale sasuraal,1996,udit narayan,nadeem shravan,sameer, raam naaraayan baajaa bajaataa jhuum jhuum jhuum jhuum thumakaa lagaataa sab logon kaa dil bahalaataa re raam naaraayan baajaa threedots  vo kisii shokh nadii kii hai ravaanii dekho mere mahabuub kii madamast javaanii dekho jaa ke ulajhaa main anaadii jo usake jhumake se vo mujhe luut gaii maar gaii thumake se ho bambaii hile dillii hile kalakattaa hilelaa ki usakii lachake jab kamariyaa to saarii duniyaa hilelaa he raam naaraayan baajaa threedots  yaar aankhon men nayaa khvaab adhuuraa laayaa leke haathon men apanaa taan tambuuraa laayaa chhed ke saaj naye giit banaa detaa huun chhorii kaisii bhii ho main usako pataa letaa huun he chalii rii sajanii sajan ghar jii ho jiyaa ab naa jalaa ab na jalaa jiyaa ab na jalaa dolii kab leke aauun main ho dilajaanii bataa he raam naaraayan baajaa threedots  
